Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.59423828 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.40673828 +1554389017.86459994 +464
+10.45898438 -1.14257813 -7.23779297 -163.78417969 -58.66699219 +37.68310547 +1554389017.86879992 +732
+14.59423828 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.40673828 +1554389017.86879992 +460
+10.41503906 -1.21289063 -7.28173828 -164.35546875 -59.06250000 +37.08984375 +1554389017.87299991 +740
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.38476563 +1554389017.87299991 +460
+10.37548828 -1.27880859 -7.31689453 -164.88281250 -59.41406250 +36.47460938 +1554389017.87709999 +748
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.36279297 +1554389017.87709999 +460
+10.32714844 -1.34472656 -7.35644531 -165.43212891 -59.78759766 +35.85937500 +1554389017.88129997 +752
+14.59863281 +2.79931641 +1.60400391 -169.73876953 +1.95556641 +134.34082031 +1554389017.88129997 +456
+10.27880859 -1.41064453 -7.39160156 -166.00341797 -60.18310547 +35.24414063 +1554389017.88540006 +760
+14.59863281 +2.79931641 +1.60400391 -169.73876953 +1.95556641 +134.29687500 +1554389017.88540006 +456
+10.22607422 -1.48095703 -7.43554688 -166.59667969 -60.60058594 +34.62890625 +1554389017.88960004 +768
+14.59863281 +2.79931641 +1.60400391 -169.73876953 +1.95556641 +134.25292969 +1554389017.88960004 +456
+10.17773438 -1.54687500 -7.47509766 -167.14599609 -61.01806641 +33.94775391 +1554389017.89380002 +776
+14.59863281 +2.79931641 +1.60400391 -169.73876953 +1.95556641 +134.23095703 +1554389017.89380002 +456
+10.12060547 -1.61279297 -7.51464844 -167.71728516 -61.43554688 +33.26660156 +1554389017.89790010 +784
+14.59863281 +2.79931641 +1.60400391 -169.73876953 +1.95556641 +134.18701172 +1554389017.89790010 +456
+10.06787109 -1.67431641 -7.55419922 -168.26660156 -61.83105469 +32.56347656 +1554389017.90210009 +788
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.18701172 +1554389017.90210009 +452
+10.00634766 -1.74902344 -7.58935547 -168.94775391 -62.27050781 +32.01416016 +1554389017.90630007 +796
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.16503906 +1554389017.90630007 +452
+9.94921875 -1.81494141 -7.62890625 -169.58496094 -62.70996094 +31.46484375 +1554389017.91039991 +808
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.14306641 +1554389017.91039991 +452
+9.89208984 -1.87646484 -7.66406250 -170.13427734 -63.12744141 +30.91552734 +1554389017.91459990 +812
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.14306641 +1554389017.91459990 +452
+9.83056641 -1.94238281 -7.70361328 -170.72753906 -63.54492188 +30.36621094 +1554389017.91880012 +820
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.12109375 +1554389017.91880012 +452
+9.76464844 -2.00830078 -7.73876953 -171.38671875 -63.98437500 +29.83886719 +1554389017.92289996 +828
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.12109375 +1554389017.92289996 +448
+9.69873047 -2.07421875 -7.77392578 -172.08984375 -64.42382813 +29.35546875 +1554389017.92709994 +840
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.09912109 +1554389017.92709994 +448
+9.63281250 -2.14892578 -7.81347656 -172.92480469 -64.88525391 +29.00390625 +1554389017.93129992 +852
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.09912109 +1554389017.93129992 +448
+9.57128906 -2.21484375 -7.85302734 -173.58398438 -65.36865234 +28.65234375 +1554389017.93540001 +860
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.07714844 +1554389017.93540001 +448
+9.50097656 -2.27197266 -7.88378906 -174.17724609 -65.76416016 +28.27880859 +1554389017.93959999 +864
+14.59863281 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.07714844 +1554389017.93959999 +448
+9.43505859 -2.34228516 -7.91894531 -174.99023438 -66.20361328 +28.12500000 +1554389017.94379997 +876
+14.59423828 +2.79931641 +1.60400391 -169.71679688 +1.95556641 +134.05517578 +1554389017.94379997 +448
+9.36474609 -2.40380859 -7.95410156 -175.75927734 -66.66503906 +27.99316406 +1554389017.94790006 +884
+14.59423828 +2.80371094 +1.60839844 -169.71679688 +1.95556641 +134.05517578 +1554389017.94790006 +448
+9.29443359 -2.46972656 -7.98925781 -176.55029297 -67.10449219 +27.90527344 +1554389017.95210004 +896
+14.59423828 +2.80371094 +1.60839844 -169.71679688 +1.95556641 +134.05517578 +1554389017.95210004 +448
+9.22412109 -2.54003906 -8.02441406 -177.49511719 -67.54394531 +27.94921875 +1554389017.95619988 +908
+14.59423828 +2.80371094 +1.60839844 -169.71679688 +1.97753906 +134.05517578 +1554389017.95619988 +448
+9.15380859 -2.60156250 -8.05957031 -178.28613281 -68.02734375 +27.97119141 +1554389017.96040010 +916
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.05517578 +1554389017.96040010 +448
+9.08349609 -2.65869141 -8.09033203 -179.05517578 -68.42285156 +28.01513672 +1554389017.96460009 +924
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.05517578 +1554389017.96460009 +448
+9.00878906 -2.72900391 -8.12109375 +179.82421875 -68.88427734 +28.43261719 +1554389017.96869993 +936
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.05517578 +1554389017.96869993 +448
+8.93847656 -2.78613281 -8.15625000 +178.94531250 -69.34570313 +28.80615234 +1554389017.97289991 +944
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.07714844 +1554389017.97289991 +448
+8.86376953 -2.84326172 -8.18701172 +178.11035156 -69.74121094 +29.20166016 +1554389017.97709990 +948
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.07714844 +1554389017.97709990 +448
+8.78906250 -2.90478516 -8.21337891 +176.98974609 -70.15869141 +29.88281250 +1554389017.98119998 +956
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.07714844 +1554389017.98119998 +448
+8.71435547 -2.96191406 -8.24853516 +176.00097656 -70.59814453 +30.49804688 +1554389017.98539996 +964
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.07714844 +1554389017.98539996 +444
+8.63525391 -3.01464844 -8.27490234 +174.99023438 -71.01562500 +31.17919922 +1554389017.98959994 +972
+14.59423828 +2.80371094 +1.60839844 -169.69482422 +1.97753906 +134.09912109 +1554389017.98959994 +444
+8.55615234 -3.08056641 -8.30126953 +173.64990234 -71.45507813 +32.21191406 +1554389017.99370003 +984
+14.59423828 +2.80371094 +1.60839844 -169.67285156 +1.97753906 +134.09912109 +1554389017.99370003 +444
+8.47705078 -3.12890625 -8.33642578 +172.61718750 -71.91650391 +33.11279297 +1554389017.99790001 +988
+14.58984375 +2.80371094 +1.60839844 -169.67285156 +1.97753906 +134.09912109 +1554389017.99790001 +444
+8.39794922 -3.17724609 -8.36279297 +171.60644531 -72.31201172 +34.01367188 +1554389018.00209999 +992
+14.58984375 +2.80371094 +1.60839844 -169.67285156 +1.97753906 +134.09912109 +1554389018.00209999 +444
+8.31884766 -3.22998047 -8.38476563 +170.35400391 -72.72949219 +35.20019531 +1554389018.00620008 +1000
+14.58984375 +2.80810547 +1.60839844 -169.67285156 +1.97753906 +134.12109375 +1554389018.00620008 +448
+8.23095703 -3.27392578 -8.41552734 +169.16748047 -73.19091797 +36.34277344 +1554389018.01040006 +1008
+14.58984375 +2.80810547 +1.60839844 -169.67285156 +1.97753906 +134.12109375 +1554389018.01040006 +448
+8.14306641 -3.31787109 -8.44189453 +167.95898438 -73.63037109 +37.48535156 +1554389018.01460004 +1012
+14.58984375 +2.80810547 +1.60839844 -169.67285156 +1.97753906 +134.12109375 +1554389018.01460004 +448
+8.05957031 -3.36621094 -8.46386719 +166.61865234 -74.04785156 +38.80371094 +1554389018.01869988 +1020
+14.58984375 +2.80810547 +1.60839844 -169.67285156 +1.97753906 +134.12109375 +1554389018.01869988 +448
+7.96728516 -3.40136719 -8.49023438 +165.38818359 -74.53125000 +40.05615234 +1554389018.02290010 +1024
+14.58984375 +2.80810547 +1.60839844 -169.67285156 +1.97753906 +134.09912109 +1554389018.02290010 +448
