Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.62060547 +3.11132813 -7.99365234 +175.45166016 +43.08837891 -141.08642578 +1554150042.37310004 +636
+14.62500000 +3.12890625 -7.98486328 +175.60546875 +43.06640625 -141.02050781 +1554150042.37730002 +640
+14.62939453 +3.13330078 -7.98046875 +175.73730469 +43.02246094 -140.93261719 +1554150042.38150001 +644
+14.63378906 +3.13330078 -7.97167969 +175.86914063 +42.95654297 -140.82275391 +1554150042.38560009 +644
+14.63378906 +3.14208984 -7.97167969 +175.97900391 +42.89062500 -140.77880859 +1554150042.38980007 +648
+14.63818359 +3.14648438 -7.96728516 +176.11083984 +42.82470703 -140.75683594 +1554150042.39400005 +648
+14.63818359 +3.15087891 -7.96289063 +176.22070313 +42.75878906 -140.71289063 +1554150042.39809990 +648
+14.64257813 +3.15527344 -7.95849609 +176.30859375 +42.69287109 -140.69091797 +1554150042.40229988 +648
+14.64697266 +3.15966797 -7.95849609 +176.41845703 +42.60498047 -140.66894531 +1554150042.40650010 +648
+14.64697266 +3.16406250 -7.95410156 +176.52832031 +42.53906250 -140.64697266 +1554150042.41059995 +648
+14.65136719 +3.16406250 -7.95410156 +176.61621094 +42.45117188 -140.60302734 +1554150042.41479993 +648
+14.65576172 +3.17724609 -7.95410156 +176.85791016 +42.23144531 -140.47119141 +1554150042.42309999 +648
+14.66015625 +3.17724609 -7.95410156 +176.98974609 +42.09960938 -140.33935547 +1554150042.42729998 +648
+14.66455078 +3.19482422 -7.95410156 +177.31933594 +41.81396484 -140.05371094 +1554150042.43560004 +648
+14.66894531 +3.20361328 -7.95410156 +177.56103516 +41.59423828 -139.79003906 +1554150042.43980002 +648
+14.67773438 +3.22119141 -7.95849609 +178.02246094 +41.19873047 -139.24072266 +1554150042.44810009 +648
+14.68212891 +3.22998047 -7.95849609 +178.33007813 +40.93505859 -138.84521484 +1554150042.45230007 +648
+14.69091797 +3.24316406 -7.96289063 +178.59375000 +40.69335938 -138.47167969 +1554150042.45639992 +648
+14.69531250 +3.25634766 -7.96289063 +178.87939453 +40.47363281 -138.09814453 +1554150042.46059990 +648
+14.70410156 +3.27832031 -7.95849609 +179.47265625 +39.99023438 -137.24121094 +1554150042.46889997 +648
+14.70410156 +3.29150391 -7.95849609 +179.71435547 +39.77050781 -136.86767578 +1554150042.47309995 +652
+14.70410156 +3.30029297 -7.96289063 -179.97802734 +39.50683594 -136.42822266 +1554150042.47729993 +652
+14.70410156 +3.31347656 -7.96289063 -179.71435547 +39.26513672 -136.01074219 +1554150042.48140001 +652
+14.70849609 +3.33105469 -7.96289063 -179.18701172 +38.80371094 -135.15380859 +1554150042.48979998 +652
+14.70849609 +3.34863281 -7.96289063 -178.90136719 +38.58398438 -134.71435547 +1554150042.49390006 +656
+14.70410156 +3.37060547 -7.96728516 -178.37402344 +38.12255859 -133.83544922 +1554150042.50230002 +660
+14.69970703 +3.38378906 -7.96289063 -178.11035156 +37.90283203 -133.39599609 +1554150042.50640011 +660
+14.69531250 +3.39257813 -7.96728516 -177.84667969 +37.66113281 -132.95654297 +1554150042.51060009 +664
+14.69091797 +3.39697266 -7.96289063 -177.60498047 +37.46337891 -132.49511719 +1554150042.51480007 +668
+14.68212891 +3.41455078 -7.96289063 -177.09960938 +37.06787109 -131.61621094 +1554150042.52309990 +672
+14.67773438 +3.42333984 -7.95410156 -176.85791016 +36.91406250 -131.19873047 +1554150042.52719998 +676
+14.66894531 +3.42773438 -7.94531250 -176.63818359 +36.76025391 -130.80322266 +1554150042.53139997 +680
+14.65136719 +3.44091797 -7.93652344 -176.19873047 +36.45263672 -130.10009766 +1554150042.53970003 +684
+14.64257813 +3.43652344 -7.92333984 -176.04492188 +36.32080078 -129.79248047 +1554150042.54390001 +684
+14.63378906 +3.43212891 -7.91894531 -175.84716797 +36.14501953 -129.44091797 +1554150042.54809999 +688
