Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.58105469 -0.30761719 -8.42871094 +146.38183594 +35.99121094 +173.18847656 +1554150183.05340004 +652
+14.57226563 -0.32519531 -8.42431641 +146.22802734 +36.01318359 +173.38623047 +1554150183.05749989 +652
+14.56347656 -0.33837891 -8.41992188 +146.07421875 +36.03515625 +173.54003906 +1554150183.06170011 +648
+14.55468750 -0.35595703 -8.41552734 +145.89843750 +36.05712891 +173.69384766 +1554150183.06590009 +648
+14.54589844 -0.37792969 -8.41552734 +145.70068359 +36.10107422 +173.84765625 +1554150183.06999993 +648
+14.53710938 -0.39550781 -8.40673828 +145.52490234 +36.14501953 +173.95751953 +1554150183.07419991 +648
+14.52832031 -0.41748047 -8.40234375 +145.32714844 +36.18896484 +174.08935547 +1554150183.07839990 +648
+14.51953125 -0.43945313 -8.39794922 +145.12939453 +36.23291016 +174.19921875 +1554150183.08249998 +648
+14.51513672 -0.45263672 -8.38916016 +144.95361328 +36.27685547 +174.24316406 +1554150183.08669996 +644
+14.50634766 -0.47460938 -8.38037109 +144.71191406 +36.32080078 +174.28710938 +1554150183.09089994 +644
+14.49755859 -0.49218750 -8.37597656 +144.49218750 +36.36474609 +174.30908203 +1554150183.09500003 +644
+14.48876953 -0.51416016 -8.37158203 +144.27246094 +36.38671875 +174.33105469 +1554150183.09920001 +644
+14.47998047 -0.53613281 -8.36279297 +144.03076172 +36.43066406 +174.35302734 +1554150183.10339999 +644
+14.47119141 -0.56250000 -8.35400391 +143.74511719 +36.47460938 +174.39697266 +1554150183.10750008 +644
+14.46240234 -0.58886719 -8.34521484 +143.48144531 +36.49658203 +174.37500000 +1554150183.11170006 +644
+14.44921875 -0.61083984 -8.33203125 +143.17382813 +36.54052734 +174.30908203 +1554150183.11579990 +644
+14.43603516 -0.63720703 -8.32324219 +142.86621094 +36.56250000 +174.26513672 +1554150183.11999989 +644
+14.42285156 -0.65917969 -8.31445313 +142.53662109 +36.58447266 +174.15527344 +1554150183.12420011 +640
+14.40966797 -0.68994141 -8.30126953 +142.18505859 +36.60644531 +174.04541016 +1554150183.12829995 +644
+14.38769531 -0.72509766 -8.29248047 +141.78955078 +36.60644531 +173.93554688 +1554150183.13249993 +644
+14.37011719 -0.76025391 -8.27929688 +141.37207031 +36.62841797 +173.73779297 +1554150183.13669991 +644
+14.34814453 -0.79980469 -8.26611328 +140.91064453 +36.65039063 +173.51806641 +1554150183.14080000 +648
+14.32177734 -0.84375000 -8.25732422 +140.49316406 +36.65039063 +173.32031250 +1554150183.14499998 +648
+14.29541016 -0.87451172 -8.24414063 +140.00976563 +36.62841797 +172.90283203 +1554150183.14919996 +648
+14.26904297 -0.91845703 -8.22656250 +139.48242188 +36.65039063 +172.46337891 +1554150183.15330005 +652
+14.23828125 -0.96679688 -8.21777344 +138.99902344 +36.65039063 +172.06787109 +1554150183.15750003 +656
+14.20312500 -1.01513672 -8.20019531 +138.36181641 +36.60644531 +171.36474609 +1554150183.16170001 +660
+14.17236328 -1.07226563 -8.18701172 +137.76855469 +36.60644531 +170.79345703 +1554150183.16580009 +664
+14.14160156 -1.12500000 -8.18261719 +137.26318359 +36.60644531 +170.28808594 +1554150183.17000008 +664
+14.10644531 -1.16015625 -8.16943359 +136.75781250 +36.54052734 +169.47509766 +1554150183.17420006 +664
+14.07568359 -1.21728516 -8.16064453 +136.16455078 +36.49658203 +168.72802734 +1554150183.17829990 +668
+14.05371094 -1.27001953 -8.15185547 +135.65917969 +36.47460938 +168.00292969 +1554150183.18249989 +668
+14.02294922 -1.30957031 -8.14746094 +135.19775391 +36.38671875 +167.18994141 +1554150183.18659997 +668
+13.99218750 -1.36669922 -8.14306641 +134.64843750 +36.29882813 +166.39892578 +1554150183.19079995 +672
+13.96582031 -1.42822266 -8.13427734 +134.09912109 +36.27685547 +165.56396484 +1554150183.19499993 +676
+13.93505859 -1.47216797 -8.12988281 +133.61572266 +36.14501953 +164.70703125 +1554150183.19910002 +676
+13.90869141 -1.52929688 -8.12548828 +133.06640625 +36.05712891 +163.82812500 +1554150183.20330000 +680
+13.88671875 -1.58642578 -8.11669922 +132.53906250 +35.99121094 +162.92724609 +1554150183.20749998 +680
+13.86035156 -1.63916016 -8.11669922 +132.07763672 +35.85937500 +162.07031250 +1554150183.21160007 +680
+13.83398438 -1.69628906 -8.11669922 +131.59423828 +35.74951172 +161.21337891 +1554150183.21580005 +684
+13.81201172 -1.75781250 -8.10351563 +131.06689453 +35.68359375 +160.31250000 +1554150183.22000003 +684
+13.78564453 -1.81933594 -8.10351563 +130.58349609 +35.57373047 +159.54345703 +1554150183.22410011 +688
+13.76367188 -1.87207031 -8.10351563 +130.14404297 +35.44189453 +158.77441406 +1554150183.22830009 +688
+13.74169922 -1.92041016 -8.09472656 +129.66064453 +35.35400391 +157.96142578 +1554150183.23250008 +688
+13.71533203 -1.98193359 -8.09472656 +129.19921875 +35.24414063 +157.28027344 +1554150183.23659992 +692
+13.69335938 -2.03027344 -8.09472656 +128.80371094 +35.11230469 +156.62109375 +1554150183.24079990 +688
+13.67578125 -2.07861328 -8.08593750 +128.36425781 +35.02441406 +155.89599609 +1554150183.24499989 +692
+13.65380859 -2.14013672 -8.09033203 +127.92480469 +34.93652344 +155.39062500 +1554150183.24909997 +696
+13.63183594 -2.17968750 -8.09472656 +127.57324219 +34.80468750 +154.86328125 +1554150183.25329995 +696
+13.60986328 -2.22363281 -8.09033203 +127.17773438 +34.69482422 +154.31396484 +1554150183.25749993 +696
+13.58789063 -2.27636719 -8.09912109 +126.78222656 +34.58496094 +153.94042969 +1554150183.26160002 +700
+13.57031250 -2.31152344 -8.10791016 +126.47460938 +34.43115234 +153.54492188 +1554150183.26580000 +700
+13.55712891 -2.35107422 -8.10791016 +126.10107422 +34.32128906 +153.10546875 +1554150183.26990008 +696
+13.53515625 -2.39941406 -8.11669922 +125.74951172 +34.18945313 +152.81982422 +1554150183.27410007 +700
+13.51757813 -2.43896484 -8.12988281 +125.41992188 +34.03564453 +152.55615234 +1554150183.27830005 +704
+13.50000000 -2.47851563 -8.13427734 +125.06835938 +33.92578125 +152.22656250 +1554150183.28239989 +704
+13.48242188 -2.52685547 -8.14746094 +124.73876953 +33.77197266 +152.02880859 +1554150183.28660011 +708
