Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.47119141 +2.74218750 -4.53076172 -131.72607422 +74.28955078 -92.15332031 +1554322408.97239995 +656
+16.22021484 -2.18847656 -5.60302734 +141.83349609 +54.47021484 -67.54394531 +1554322408.97239995 +992
+14.47119141 +2.74218750 -4.53076172 -131.70410156 +74.28955078 -92.15332031 +1554322408.97659993 +656
+16.22021484 -2.18847656 -5.59863281 +141.81152344 +54.49218750 -67.60986328 +1554322408.97659993 +992
+14.47119141 +2.74218750 -4.53076172 -131.68212891 +74.28955078 -92.13134766 +1554322408.98079991 +656
+16.22021484 -2.18847656 -5.59863281 +141.81152344 +54.53613281 -67.67578125 +1554322408.98079991 +992
+14.47119141 +2.73779297 -4.52636719 -131.63818359 +74.28955078 -92.13134766 +1554322408.98490000 +656
+16.22021484 -2.18408203 -5.59423828 +141.78955078 +54.53613281 -67.71972656 +1554322408.98490000 +992
+14.47119141 +2.73779297 -4.52636719 -131.63818359 +74.28955078 -92.13134766 +1554322408.98909998 +656
+16.22021484 -2.18408203 -5.59423828 +141.81152344 +54.55810547 -67.76367188 +1554322408.98909998 +992
+14.47119141 +2.73779297 -4.53076172 -131.61621094 +74.28955078 -92.13134766 +1554322408.99329996 +652
+16.22021484 -2.18408203 -5.59423828 +141.81152344 +54.55810547 -67.80761719 +1554322408.99329996 +988
+14.47119141 +2.73779297 -4.53076172 -131.59423828 +74.26757813 -92.15332031 +1554322408.99740005 +652
+16.22021484 -2.17968750 -5.59423828 +141.83349609 +54.58007813 -67.82958984 +1554322408.99740005 +988
+14.47119141 +2.73779297 -4.53076172 -131.59423828 +74.26757813 -92.15332031 +1554322409.00160003 +652
+16.22021484 -2.17968750 -5.58984375 +141.85546875 +54.60205078 -67.87353516 +1554322409.00160003 +988
+14.47119141 +2.73779297 -4.53076172 -131.57226563 +74.26757813 -92.15332031 +1554322409.00580001 +648
+16.22021484 -2.17529297 -5.58984375 +141.85546875 +54.62402344 -67.93945313 +1554322409.00580001 +988
+14.47119141 +2.73779297 -4.53076172 -131.57226563 +74.24560547 -92.17529297 +1554322409.00990009 +648
+16.22021484 -2.17089844 -5.58544922 +141.87744141 +54.62402344 -67.96142578 +1554322409.00990009 +988
+14.47119141 +2.74218750 -4.53076172 -131.55029297 +74.22363281 -92.17529297 +1554322409.01410007 +648
